Latitude,Longitude,Agebuilding,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,PropertyGFABuilding(s),LargestPropertyUseType,ENERGYSTARScore,SiteEUIWN(kBtu/sf),TotalGHGEmissions
47.58096,-122.32313,46,1.0,1,84420,0,84420,Industrie,55.0,35.40000153,19.86
47.57055,-122.3267,55,1.0,1,73335,0,73335,Industrie,,74.5,155.74
47.5794,-122.32848,88,1.0,2,56876,0,56876,Industrie,,35.40000153,48.5
47.58241,-122.32866,85,1.0,2,61200,0,61200,Industrie,16.0,86.40000153,178.62
47.58772,-122.32686,29,1.0,1,111908,0,111908,Industrie,87.0,15.30000019,34.14
47.6633,-122.37549,15,1.0,4,92092,21055,71037,Bureau,5.0,68.69999695,33.58
47.6592,-122.38437,42,1.0,3,56259,0,56259,Industrie,,47.70000076,86.9
47.64932,-122.35187,16,1.0,2,77174,25800,51374,Bureau,33.0,71.0,38.21
47.62817,-122.34212,18,1.0,5,110524,0,110524,Bureau,57.0,63.90000153,47.82
47.61949,-122.35639,42,1.0,5,102930,18720,84210,Bureau,85.0,56.5,65.03
47.61203,-122.33486,87,1.0,4,78920,0,78920,Commerce,80.0,105.1999969,109.85
47.61051,-122.34439,37,1.0,7,131143,87160,43983,Bureau,93.0,39.47805449013672,109.16
47.61505,-122.32,108,1.0,4,55520,0,55520,Bureau,,70.30000305,150.88
47.60956,-122.33715,76,1.0,3,83118,0,83118,Commerce,59.0,56.29999924,27.82
47.60925,-122.33734,92,1.0,3,77555,0,77555,Commerce,39.0,106.0999985,54.4
47.60765,-122.34097,107,1.0,6,51218,0,51218,Bureau,57.0,55.5,20.12
47.60576,-122.33922,106,1.0,7,122356,0,122356,Bureau,91.0,41.90000153,41.8
47.60366,-122.33328,95,1.0,3,52298,0,52298,Bureau,89.0,40.59999847,13.72
47.6094,-122.31506,100,1.0,2,60122,0,60122,Education,,12.39999962,9.31
47.5981,-122.33369,106,1.0,6,95000,13700,81300,Bureau,83.0,50.5,31.43
47.58958,-122.33369,109,1.0,6,62370,0,62370,Bureau,30.0,72.69999695,30.35
47.58251,-122.32528,31,1.0,1,66133,0,66133,Autres,,84.80000305,89.94
47.57613,-122.33864,64,1.0,2,115668,0,115668,Industrie,,33.59999847,111.23
47.54923,-122.32446,50,1.0,1,115620,0,115620,Industrie,11.0,34.29999924,13.61
47.54326,-122.33134,47,1.0,1,71718,0,71718,Industrie,100.0,2.099999905,1.06
47.53628,-122.3329,47,1.0,1,55450,0,55450,Industrie,31.0,87.30000305,131.64
47.52222,-122.36892,24,1.0,1,102500,0,102500,Commerce,81.0,77.69999695,158.55
47.59937,-122.33116,114,1.0,4,73320,0,73320,Industrie,,23.0,29.16
47.5992,-122.33223,116,1.0,6,95760,15840,79920,Bureau,83.0,58.29999924,74.45
47.57513,-122.33739,99,1.0,1,65288,0,65288,Industrie,,8.600000381,4.22
47.66246,-122.29898,60,1.0,2,93803,0,93803,Commerce,,59.90000153,110.41
47.51304,-122.28394,50,1.0,2,123000,0,123000,Industrie,47.0,21.89999962,20.94
47.51168,-122.28285,38,1.0,1,60448,0,60448,Industrie,90.0,19.29999924,27.24
47.60453796,-122.3203278,12,1.0,4,77412,21612,55800,Bureau,,60.09999847,20.85
47.6993,-122.32378,29,1.0,5,90266,0,90266,Bureau,18.0,90.80000305,54.18
47.6582,-122.36434,12,1.0,4,87332,6458,80874,Industrie,87.0,13.60000038,14.49
47.61818,-122.31728,28,1.0,4,132828,0,132828,Industrie,83.0,8.199999809,7.56
47.54862,-122.32272,58,1.0,1,74178,0,74178,Commerce,,75.69999695,134.82
47.70799,-122.30185,29,1.0,4,80360,0,80360,Industrie,96.0,9.399999619,16.27
47.59394,-122.32452,8,1.0,2,51856,0,51856,Commerce,,37.29999924,13.51
47.67738,-122.28996,59,1.0,2,22220,0,22220,Servicepublic,90.0,40.09999847,31.74
47.54437,-122.30863,54,1.0,1,44700,0,44700,Bureau,,45.40000153,30.52
47.54137,-122.33051,40,1.0,1,44100,0,44100,Industrie,1.0,42.29999924,11.29
47.54113,-122.32633,51,1.0,1,27800,0,27800,Industrie,13.0,48.09999847,24.39
47.55436,-122.33631,15,1.0,1,46340,0,46340,Industrie,3.0,55.29999924,17.87
47.60191,-122.31438,106,1.0,3,38460,0,38460,Bureau,69.0,53.70000076,36.02
47.68576,-122.35481,94,1.0,2,21022,0,21022,Servicepublic,54.0,51.29999924,43.84
47.51127,-122.281,49,1.0,1,48001,0,48001,Industrie,49.0,52.0,86.46
47.51399,-122.27946,37,1.0,1,26380,0,26380,Industrie,,20.0,3.58
47.51018,-122.28192,47,1.0,1,37351,0,37351,Industrie,10.0,72.40000153,77.04
47.51127,-122.281,35,1.0,1,30375,0,30375,Industrie,73.0,11.39999962,2.41
47.51104,-122.28245,37,1.0,1,30004,0,30004,Industrie,,12.60000038,2.57
47.68164,-122.3753,102,1.0,2,33589,0,33589,Servicepublic,90.0,18.10000038,21.93
